reputacion,clasificacion,rangoedad,superliga
5,Excelente,Experimentado,Superliga-Si
5,Excelente,Experimentado,Superliga-Si
5,Excelente,Joven,Superliga-No
3,Excelente,Joven,Superliga-Si
4,Excelente,Joven,Superliga-Si
4,Excelente,Joven,Superliga-Si
3,Excelente,Joven,Superliga-Si
3,Excelente,Joven,Superliga-Si
4,Excelente,Experimentado,Superliga-Si
3,Excelente,Joven,Superliga-Si
3,Muy bueno,Joven,Superliga-No
3,Muy bueno,Joven,Superliga-No
3,Muy bueno,Joven,Superliga-No
3,Muy bueno,Joven,Superliga-Si
4,Muy bueno,Joven,Superliga-Si
3,Muy bueno,Joven,Superliga-Si
4,Muy bueno,Experimentado,Superliga-Si
4,Muy bueno,Experimentado,Superliga-Si
4,Muy bueno,Experimentado,Superliga-Si
5,Muy bueno,Experimentado,Superliga-Si
4,Muy bueno,Experimentado,Superliga-No
4,Muy bueno,Experimentado,Superliga-Si
4,Muy bueno,Joven,Superliga-Si
3,Muy bueno,Joven,Superliga-Si
4,Muy bueno,Joven,Superliga-Si
2,Muy bueno,Joven,Superliga-Si
3,Muy bueno,Joven,Superliga-Si
3,Muy bueno,Joven,Superliga-No
4,Muy bueno,Joven,Superliga-Si
4,Muy bueno,Experimentado,Superliga-Si
3,Muy bueno,Experimentado,Superliga-Si
5,Muy bueno,Experimentado,Superliga-No
4,Muy bueno,Experimentado,Superliga-No
4,Muy bueno,Experimentado,Superliga-Si
4,Muy bueno,Experimentado,Superliga-No
3,Muy bueno,Experimentado,Superliga-Si
4,Muy bueno,Joven,Superliga-Si
4,Muy bueno,Experimentado,Superliga-No
3,Muy bueno,Experimentado,Superliga-Si
3,Muy bueno,Joven,Superliga-Si
2,Muy bueno,Joven,Superliga-Si
2,Muy bueno,Joven,Superliga-Si
3,Muy bueno,Joven,Superliga-Si
3,Muy bueno,Joven,Superliga-No
3,Muy bueno,Experimentado,Superliga-Si
4,Muy bueno,Experimentado,Superliga-No
4,Muy bueno,Experimentado,Superliga-Si
3,Muy bueno,Experimentado,Superliga-No
